time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-03T21:54:49.340Z,17.9528333333333,-66.9541666666667,15,2.29,md,5,218,0.07465,0.06,pr,pr71412243,2023-06-03T22:05:23.120Z,"5 km WSW of Guánica, Puerto Rico",earthquake,0.66,0.69,0.0741420197947613,4,reviewed,pr,pr
2023-06-03T21:49:57.200Z,19.4166660308838,-155.228668212891,2.78999996185303,1.79,ml,24,79,,0.209999993,hv,hv73438512,2023-06-03T22:44:38.495Z,"2 km S of Volcano, Hawaii",earthquake,0.39,0.600000024,0.21,11,automatic,hv,hv
2023-06-03T21:49:32.862Z,-18.0152,-178.4372,584.749,4.4,mb,77,42,3.353,0.6,us,us7000k65n,2023-06-03T22:28:06.040Z,"237 km E of Levuka, Fiji",earthquake,11.77,2.906,0.032,276,reviewed,us,us
2023-06-03T21:28:49.284Z,60.7345,-147.3586,16.3,1.3,ml,,,,0.45,ak,ak023731fnls,2023-06-03T21:30:53.511Z,"39 km WSW of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-03T20:51:52.610Z,38.8064995,-122.7898331,1.43,1.06,md,19,38,0.004518,0.03,nc,nc73896566,2023-06-03T21:13:18.891Z,"4km NW of The Geysers, CA",earthquake,0.23,0.45,0.16,22,automatic,nc,nc
2023-06-03T20:43:16.030Z,38.8008347,-122.7821655,0.73,1.04,md,15,77,0.01246,0.03,nc,nc73896561,2023-06-03T21:00:20.820Z,"3km NW of The Geysers, CA",earthquake,0.22,0.49,0.22,14,automatic,nc,nc
2023-06-03T20:42:40.664Z,53.4781,-163.1207,10,3.9,mb,19,215,1.392,0.55,us,us7000k65i,2023-06-03T21:01:55.040Z,"154 km S of False Pass, Alaska",earthquake,5.63,1.945,0.121,18,reviewed,us,us
2023-06-03T20:35:35.866Z,64.6497,-149.1403,13.2,0.5,ml,,,,0.58,ak,ak023730voz6,2023-06-03T20:37:14.104Z,"5 km N of Four Mile Road, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-03T20:18:13.118Z,39.5161,-120.3131,8.2,1.6,ml,16,145.07,0.081,0.1429,nn,nn00860798,2023-06-03T20:43:44.320Z,"9 km SSE of Sierraville, California",earthquake,,1.8,0.21,7,reviewed,nn,nn
2023-06-03T20:18:10.108Z,67.3698,-163.907,0,2.8,ml,,,,0.93,ak,ak023730rzte,2023-06-03T20:36:36.040Z,"46 km WSW of Noatak, Alaska",earthquake,,1,,,automatic,ak,ak
